RESERVATION_NO;Permit_No;DATE_;TIME_FROM;TIME_TO;SEX_;AGE_;assembly_POINT;GATE_INTR;Permit_KIND
47851116;942816711;06/09/21;06:00 у;09:00 у;MALE;55;уцон ЧсЬубЧЪ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851116;942816712;06/09/21;06:00 у;09:00 у;FEMALE;22;уцон ЧсЬубЧЪ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851116;942816713;06/09/21;06:00 у;09:00 у;FEMALE;25;уцон ЧсЬубЧЪ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851117;942816714;06/09/21;06:00 у;09:00 у;FEMALE;25;уцон ЧсЬубЧЪ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851118;942816715;06/09/21;06:00 у;09:00 у;FEMALE;32;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851119;942816716;06/09/21;06:00 у;09:00 у;MALE;55;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851120;942816717;06/09/21;06:00 у;09:00 у;MALE;22;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851121;942816718;06/09/21;06:00 у;09:00 у;MALE;40;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851122;942816719;06/09/21;06:00 у;09:00 у;MALE;46;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851123;942816720;06/09/21;06:00 у;09:00 у;MALE;44;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851124;942816721;06/09/21;06:00 у;09:00 у;MALE;58;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851125;942816722;06/09/21;06:00 у;09:00 у;MALE;65;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851126;942816723;06/09/21;06:00 у;09:00 у;MALE;57;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851127;942816724;06/09/21;06:00 у;09:00 у;MALE;58;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851128;942816725;06/09/21;06:00 у;09:00 у;MALE;60;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851129;942816726;06/09/21;06:00 у;09:00 у;MALE;55;ЧсдШэпх;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851130;942816727;06/09/21;06:00 у;09:00 у;MALE;22;уцон пЯэ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851131;942816728;06/09/21;06:00 у;09:00 у;MALE;19;уцон пЯэ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851132;942816729;06/09/21;06:00 у;09:00 у;MALE;37;уцон пЯэ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
47851132;942816730;06/09/21;06:00 у;09:00 у;MALE;77;уцон пЯэ;ШЧШ Чсусп нхЯ;УЯЧС кубЩ
