RESERVATION_NO,Permit_No,DATE_,TIME_FROM,TIME_TO,SEX_,AGE_,assembly_POINT,GATE_INTR,Permit_KIND
47851116,942816711,9/6/2021,6:00 PM,9:00 PM,MALE,55,موقف الجمرات,باب الملك فهد,أداء عمرة
47851116,942816712,9/6/2021,6:00 PM,9:00 PM,FEMALE,22,موقف الجمرات,باب الملك فهد,أداء عمرة
47851116,942816713,9/6/2021,6:00 PM,9:00 PM,FEMALE,25,موقف الجمرات,باب الملك فهد,أداء عمرة
47851117,942816714,9/6/2021,6:00 PM,9:00 PM,FEMALE,25,موقف الجمرات,باب الملك فهد,أداء عمرة
47851118,942816715,9/6/2021,6:00 PM,9:00 PM,FEMALE,32,الشبيكه,باب الملك فهد,أداء عمرة
47851119,942816716,9/6/2021,6:00 PM,9:00 PM,MALE,55,الشبيكه,باب الملك فهد,أداء عمرة
47851120,942816717,9/6/2021,6:00 PM,9:00 PM,MALE,22,الشبيكه,باب الملك فهد,أداء عمرة
47851121,942816718,9/6/2021,6:00 PM,9:00 PM,MALE,40,الشبيكه,باب الملك فهد,أداء عمرة
47851122,942816719,9/6/2021,6:00 PM,9:00 PM,MALE,46,الشبيكه,باب الملك فهد,أداء عمرة
47851123,942816720,9/6/2021,6:00 PM,9:00 PM,MALE,44,الشبيكه,باب الملك فهد,أداء عمرة
47851124,942816721,9/6/2021,6:00 PM,9:00 PM,MALE,58,الشبيكه,باب الملك فهد,أداء عمرة
47851125,942816722,9/6/2021,6:00 PM,9:00 PM,MALE,65,الشبيكه,باب الملك فهد,أداء عمرة
47851126,942816723,9/6/2021,6:00 PM,9:00 PM,MALE,57,الشبيكه,باب الملك فهد,أداء عمرة
47851127,942816724,9/6/2021,6:00 PM,9:00 PM,MALE,58,الشبيكه,باب الملك فهد,أداء عمرة
47851128,942816725,9/6/2021,6:00 PM,9:00 PM,MALE,60,الشبيكه,باب الملك فهد,أداء عمرة
47851129,942816726,9/6/2021,6:00 PM,9:00 PM,MALE,55,الشبيكه,باب الملك فهد,أداء عمرة
47851130,942816727,9/6/2021,6:00 PM,9:00 PM,MALE,22,موقف كدي,باب الملك فهد,أداء عمرة
47851131,942816728,9/6/2021,6:00 PM,9:00 PM,MALE,19,موقف كدي,باب الملك فهد,أداء عمرة
47851132,942816729,9/6/2021,6:00 PM,9:00 PM,MALE,37,موقف كدي,باب الملك فهد,أداء عمرة
47851132,942816730,9/6/2021,6:00 PM,9:00 PM,MALE,77,موقف كدي,باب الملك فهد,أداء عمرة
47851132,942816731,9/6/2021,6:00 PM,9:00 PM,MALE,45,موقف كدي,باب الملك فهد,أداء عمرة
47851133,942816732,9/6/2021,6:00 PM,9:00 PM,MALE,75,موقف كدي,باب الملك فهد,أداء عمرة
47851134,942816733,9/6/2021,6:00 PM,9:00 PM,MALE,65,موقف كدي,باب الملك فهد,أداء عمرة
47851135,942816734,9/6/2021,6:00 PM,9:00 PM,MALE,27,موقف كدي,باب الملك فهد,أداء عمرة
47851136,942816735,9/6/2021,6:00 PM,9:00 PM,MALE,28,موقف كدي,باب الملك فهد,أداء عمرة
47851137,942816736,9/6/2021,6:00 PM,9:00 PM,MALE,57,موقف كدي,باب الملك فهد,أداء عمرة
47851138,942816737,9/6/2021,6:00 PM,9:00 PM,MALE,58,موقف كدي,باب الملك فهد,أداء عمرة
47851139,942816738,9/6/2021,6:00 PM,9:00 PM,MALE,60,موقف كدي,باب الملك فهد,أداء عمرة
47851140,942816739,9/6/2021,6:00 PM,9:00 PM,MALE,55,موقف كدي,باب الملك فهد,أداء عمرة
47851141,942816740,9/6/2021,6:00 PM,9:00 PM,MALE,22,موقف كدي,باب الملك فهد,أداء عمرة
47851142,942816741,9/6/2021,6:00 PM,9:00 PM,MALE,19,موقف كدي,باب الملك فهد,أداء عمرة
47851143,942816742,9/6/2021,6:00 PM,9:00 PM,MALE,37,موقف كدي,باب الملك فهد,أداء عمرة
47851144,942816743,9/6/2021,6:00 PM,9:00 PM,MALE,77,موقف كدي,باب الملك فهد,أداء عمرة
47851145,942816744,9/6/2021,6:00 PM,9:00 PM,MALE,23,موقف كدي,باب الملك فهد,أداء عمرة
47851146,942816745,9/6/2021,6:00 PM,9:00 PM,MALE,24,موقف كدي,باب الملك فهد,أداء عمرة
47851147,942816746,9/6/2021,6:00 PM,9:00 PM,MALE,25,موقف كدي,باب الملك فهد,أداء عمرة
47851148,942816747,9/6/2021,6:00 PM,9:00 PM,MALE,26,موقف كدي,باب الملك فهد,أداء عمرة
47851149,942816748,9/6/2021,6:00 PM,9:00 PM,MALE,62,موقف كدي,باب الملك فهد,أداء عمرة
47851150,942816749,9/6/2021,6:00 PM,9:00 PM,MALE,52,موقف كدي,باب الملك فهد,أداء عمرة
47851151,942816750,9/6/2021,6:00 PM,9:00 PM,MALE,82,موقف كدي,باب الملك فهد,أداء عمرة
47851152,942816751,9/6/2021,6:00 PM,9:00 PM,MALE,92,موقف كدي,باب الملك فهد,أداء عمرة
47851153,942816752,9/6/2021,6:00 PM,9:00 PM,MALE,72,موقف كدي,باب الملك فهد,أداء عمرة
47851154,942816753,9/6/2021,6:00 PM,9:00 PM,MALE,42,موقف كدي,باب الملك فهد,أداء عمرة
